label,text
alt.atheism,"
Personal attacks?  


Deliberate misinterpretation of a persons statement?  (By cutting out
the part of the statement, he tries to blunt the thrust of the sentence.
He never addresses the issue of extreemist peace people not holding true
to their ideals.)


Ignoring the challenge?  (He ignores the challenge that extreemists for
peace tend to be quite insistent that everyone accept their ideals for
the world, and have even turned quite violent.  (Witness, Chicago, summer
1968)).


Paranoia?  (He assumes that anyone who argues against his viewpoint must
""masturbate over Guns'N'Ammo."")

Fire up the Oven, it isn't hot enough!
"
alt.atheism,"

This is becoming a tiresome statement.  Coming from you it is 
a definition, not an assertion:

   Islam is good.  Belief in Islam is good.  Therefore, being a 
   believer in Islam can produce only good...because Islam is
   good. Blah blah blah.

That's about as circular as it gets, and equally meaningless.  To
say that something produces only good because it is only good that 
it produces is nothing more than an unapplied definition.  And
all you're application is saying that it's true if you really 
believe it's true.  That's silly.

Conversely, you say off-handedly that _anything_ can happen under
atheism.  Again, just an offshoot of believe-it-and-it-becomes-true-
don't-believe-it-and-it-doesn't.  

Like other religions I'm aquainted with, Islam teaches exclusion and
caste, and suggests harsh penalties for _behaviors_ that have no
logical call for punishment (certain limits on speech and sex, for
example).  To me this is not good.  I see much pain and suffering
without any justification, except for the _waving of the hand_ of
some inaccessible god.

By the by, you toss around the word knowledgable a bit carelessly.
For what is a _knowledgeable believer_ except a contradiction of
terms.  I infer that you mean believer in terms of having faith.
And If you need knowledge to believe then faith has nothing
to do with it, does it?"
alt.atheism,"
Sorry, Fred, but for the purposes under discussion here, I must
disagree.  Your point is true only in the sense that one cannot argue
against communism by reference to the Chinese or Soviet empires, since
those did not represent *true* communism.  In judging the practical
consequences of Islam as a force to contend with in the world today,
it is precisely the Khomeini's of the world, the Rushdie-fatwa
supporters, and perhaps more importantly, the reaction of the world
Muslim community to those extremists, that we must look to.  Perhaps
unfortunately from your perspective, most people are not concerned
with whether Islam is the right religion for them, or whether the
Qur'an could be used as a guidebook for a hypothetical utopia, but how
Islam affects the world around them, or what their lives might be like
if Islam gains in influence.  When I consider such possibilities, it
is with not inconsiderable fear."
alt.atheism,"

7. Massacre of Jews in WWII: 6.3 million
8. Massacre of other 'inferior races' in WWII: 10 million
9. Communist purges: 20-30 million? [Socialism is more or less a religion]
10. Catholics V Protestants : quite a few I'd imagine
11. Recent goings on in Bombay/Iodia (sp?) area: ??
12. Disease introduced to Brazilian * oher S.Am. tribes: x million


The Desert Brat"
alt.atheism,"

Why are only those people in favor of the system to blame.  If society
accepts such a system, then each member of society is to blame when
an innocent person gets executed.  Those that are not in favor should
work to convince others.

And, most members of our society have accepted the blame--they've considered
the risk to be acceptable.  Similarly, every person who drives must accept
the blame for fatal traffic accidents.  This is something that is surely
going to happen when so many people are driving.  It is all a question of
what risk is acceptable.  It is much more likely that an innocent person
will be killed driving than it is that one will be executed."
alt.atheism,"

I assume that you are talking about the appeals processes, etc.?
Well, it should be noted that people who are imprisoned for life
will also tend to appeal (though not quite as much in the ""final
hours.""

Anyway, economics is not a very good reason to either favor or oppose
the punishment."
alt.atheism,"
[...]

Wait a minute, Doug.  I know you are better informed than that.  The US 
has never invaded Nicaragua (as far as I know).  We liberated Grenada 
from the Cubans	to protect US citizens there and to prevent the completion 
of a strategic air strip.  Panama we invaded, true (twice this century).  
Vietnam?  We were invited in by the government of S. Vietnam.  (I guess 
we ""invaded"" Saudi Arabia during the Gulf War, eh?)  Mexico?  We have 
invaded Mexico 2 or 3 times, once this century, but there were no missiles 
for anyone to shoot over here at that time.  Hawaii?  We liberated it from 
Spain.

So if you mean by the word ""invaded"" some sort of military action where
we cross someone's border, you are right 5 out of 6.  But normally
""invaded"" carries a connotation of attacking an autonomous nation.
(If some nation ""invades"" the U.S. Virgin Islands, would they be
invading the Virgin Islands or the U.S.?)  So from this point of
view, your score falls to 2 out of 6 (Mexico, Panama).

[...]

No, it's someone who believes in ""peace-at-all-costs"".  In other words,
a person who would have supported giving Hitler not only Austria and
Czechoslakia, but Poland too if it could have averted the War.  And one
who would allow Hitler to wipe all *all* Jews, slavs, and political 
dissidents in areas he controlled as long as he left the rest of us alone.

""Is it supposed to be bad to be a peace-nik,"" you ask?  Well, it depends
on what your values are.  If you value life over liberty, peace over
freedom, then I guess not.  But if liberty and freedom mean more to you
than life itself; if you'd rather die fighting for liberty than live
under a tyrant's heel, then yes, it's ""bad"" to be a peace-nik.

The problem with most peace-niks it they consider those of us who are
not like them to be ""bad"" and ""unconscionable"".  I would not have any
argument or problem with a peace-nik if they held to their ideals and
stayed out of all conflicts or issues, especially those dealing with 
the national defense.  But no, they are not willing to allow us to
legitimately hold a different point-of-view.  They militate and 
many times resort to violence all in the name of peace.  (What rank
hypocrisy!)  All to stop we ""warmongers"" who are willing to stand up 
and defend our freedoms against tyrants, and who realize that to do
so requires a strong national defense.

Time to get off the soapbox now.  :)

[...]

Regards,"
alt.atheism,"


[...]

Note that I _never_ said that depression and the destruction of the
nuclear family is due _solely_ to extra-marital sex.  I specifically
said that it was ""a prime cause"" of this, not ""the prime cause"" or ""the
only cause"" of this -- I recognize that there are probably other factors
too, but I think that extra-marital sex and subsequent destabilization
of the family is probably a significant factor to the rise in
psychological problems, including depression, in the West in the 20th
century."
alt.atheism,"::DATE:   Sun, 25 Apr 1993 10:13:30 GMT
::FROM:   Fred Rice <darice@yoyo.cc.monash.edu.au:
::
::
::The Qur'an talks about those who take their lusts and worldly desires for 
::their ""god"".
::
::I think this probably encompasses most atheists.
::
:: Fred Rice
:: darice@yoyo.cc.monash.edu.au   
:
:As well as all the Muslim men screwing fourteen year old prostitutes in
:Thailand.  Got a better quote?
:"
alt.atheism,"
I'm sure zero-intested economical systems survive on a small-scale,
co-ops is not an Islamic invention, and we have co-operatives working
all around the world. However such systems don't stand the corruption
of a large scale operation. Actually, nothing could handle human
greed, IMHO. Not even Allah :-).

Cheers,
Kent"
alt.atheism,"	[...details of US built chemical plant at Al Alteer near Baghdad...]
: However, the plant's intended use was to aid the Iraqi infrastructure.
: It is not an example of selling a weapon.  May sound nitpicking,
: but are we going to refuse to sell valuable parts that build the
: infrastructure because of dual use technology? 

	I am contending that in this case (and in the case of the sale
of pesticides by UK companies) that they knew full well that it was to 
be used for the production of chemical weapons even if that was not its
officially stated purpose.

: I personally don't think that letting Iran conquer Iraq would have been a 
: good thing.  

	For that matter, neither do I (for the reasons you state). It is the 
hypocrisy and claims the US did not help Iraq that make me angry, plus the
fact that the USA seems to believe it has the *right* to interfere where
is sees fit (i.e. has an interest) rather than a *duty* to intervene where
it is required. This is demonstrated by the failure of the US to do anything
about East Timor (and the region *is* becoming destabilised). The USA might
have done something approaching the right thing, given my reservations about
the uncessary number of civillian casualites, but for wholly the wrong reasons
and after having a hand in creating the situation.

: That in no way would affect the US later military action against Iraq.

	I did not suggest it would and it would be ridiculous to assert
otherwise. I was simply indicating the USA has previously aided Iraq.

: Intel on manufacturing techniques, or something of that nature? 

	No, apparently data (orginally from satellites although I doubt
that Iraq would have been given the raw data) concerning troop concentrations."
alt.atheism,"

Well, it's obvious that you *don't* attempt, otherwise you would be aware
that they *don't* all ""loudly [claim] to be the One True Christian"".

I've tried to avoid using the phrase ""is/is not christian"" because of these
ownership issues; instead, I've tried the phrase ""Nicene christianity"" in an
attempt to identify the vast majority of ""christianity"" which has roughly
similar viewpoints on the core theological issues.  The JWs do not fall
within this group and in fact espouse a position known as Arianism, which is
rejected by all the nicene churches and virtually everyone else as well."
alt.atheism,"[deletia wrt pathetic Jee-zus posting by Bissel] 

NO. He hasn't extended to US the courtesy you've shown us, so he don't get no
pie. Tammy, I respect your beliefs because you don't try to stamp them into
my being. I have scorn for posters whose sole purpose appears to be to
evangelize."
alt.atheism,"On one of the morning shows (I think is was the Today Show), David Koresh's
lawyer was interviewed. During that interview he flipped through some letters
that David Koresh wrote. On one of letters was written in Hebrew (near the
bottom of the page):

  koresh adonai"
alt.atheism,"
Hehehe, so you say, but this objective morality somehere tells you 
that this is not the case, and you don't know all the rules of such
transcendental game systems...

Cheers,
Kent"
alt.atheism,
alt.atheism,": >Atoms are not objective.  They aren't even real.  What scientists call
: >an atom is nothing more than a mathematical model that describes 
: >certain physical, observable properties of our surroundings.  All
: >of which is subjective.  
: >
: >-jim halat

: This deserves framing.  It really does.  ""[Atoms] aren't even real.""

: Tell me then, those atoms we have seen with electron microscopes are
: atoms now, so what are they?  Figments of our imaginations?  The
: evidence that atoms are real is overwhelming, but I won't bother with
: most evidence at the moment.

You would have us believe that what the eye perceives as images are
actaully there - as perceived? This may be interesting. I thought
that an electron microscope was used because no wavelength of ""light""
can illuminate any ""object"" of atomic scale. If this image is to have
useful resolution, wouldn't the illuminating sources wavelength have
to be several orders of magnitude less than size of thing observed?

If an atom is a ""probablity cloud"", lower resolutions would give the
appearance of solidity, but it seems fairly certain that an atom is
not an object is any conventional sense. Obviously I am not a
physicist, but the question does have ramification of a philosophic
nature. Anyway, just a stray thought, carry on ..."
alt.atheism,"


Do you honestly hold to that tripe Charley? For a start there are enough
current versions of the Bible to make comparisons to show that what you write
above is utter garbage. Witness JW, Mormon, Catholic, Anglican, and Greek
Orthodox Bibles. But to really convince you I'd have to take you to a good
old library. In our local library we had a 1804 King James which I compared
to a brand new, hot of God's tongue Good News Bible. Genesis was almost
unrecognisable, many of the discrepencies between the four gospels had been
edited from the Good News Bible. In fact the God of Good News was a much
more congenial fellow I must say. 

If you like I'll get the 1804 King James out again and actually give you
some quotes. At least the headings haven't changed much."
alt.atheism,"[deletions]

If this is grounded firmly in Islam, as you claim, then you have just
exposed Islam as the grounds for terrorism, plain and simple.

Whether you like it or not, whether Rushdie acted like a total jerk or
not, there is no acceptable civilized basis for putting someone in fear
of their life for words.

It simply does not matter whether his underlying motive was to find the
worst possible way he could to insult Muslims and their beliefs, got that?
You do not threaten the life of someone for words - when you do, you
quite simply admit the backruptcy of your position.  If you support
threatening the life of someone for words, you are not yet civilized.

This is exactly where I, and many of the people I know, have to depart
from respecting the religions of others.  When those beliefs allow and
encourage (by interpretation) the killing of non-physical opposition.

You, or I or anyone, are more than privledged to believe that someone,
whether it be Rushdie or Bush or Hussien or whover, is beyond the pale
of civilized society and you can condemn his/her soul, refuse to allow
any members of your association to interact with him/her, _peacably_
demonstrate to try to convince others to disassociate themselves from
the ""miscreants"", or whatever, short of physical force.

But once you physically threaten, or support physical threats, you get
much closer to your earlier comparison of rape - with YOU as the rapist
who whines ""She asked for it, look how she was dressed"".

Blaming the victim when you are unable to be civilized doesn't fly.

Dew"
alt.atheism,"
Absolutely not true. Without religion - either an established one or
one you invent for yourself - the theist and atheist are equally
(not) interested in God, because without religious revelation there
is _no_ information about God available. Strip away the dogma and
the theists/atheists are no different, simply holding a different
opinion on a matter of little practical importance.


Sorry, but that doesn't help. What test will you apply to decide
whether it is God or Satan with whom you are speaking?
How will you know that you have not simply gone insane, or having
delusions? You are like a loaded gun.


Ah, you not as stupid as I assumed. :-)


Yes. We're all in this together - each human making up a small part of
the definition of humanity."
alt.atheism,"


[stuff deleted]

Actually, you get a ton of weapons and ammunition, 70-80 followers, and hole
up in some kind of compound, and wait for . . . . :-)"
alt.atheism,"

I _know_ I shouldn't get involved, but...   :-)

[bit deleted]


Righto, DAN, try this one with your Cornflakes...

The book says that Muhammad was either a liar, or he was crazy ( a 
modern day Mad Mahdi) or he was actually who he said he was.
Some reasons why he wouldn't be a liar are as follows.  Who would 
die for a lie?  Wouldn't people be able to tell if he was a liar?  People 
gathered around him and kept doing it, many gathered from hearing or seeing 
how his son-in-law made the sun stand still.  Call me a fool, but I believe 
he did make the sun stand still.  
Niether was he a lunatic.  Would more than an entire nation be drawn 
to someone who was crazy.  Very doubtful, in fact rediculous.  For example 
anyone who is drawn to the Mad Mahdi is obviously a fool, logical people see 
this right away.
Therefore since he wasn't a liar or a lunatic, he must have been the 
real thing.  

--"
alt.atheism,"
I agree, I had a hard feeling not believing my grand-grand mother
who told me of elves dancing outside barns in the early mornings.
I preferred not to accept it, even if her statement provided
the truth itself. Life is hard.

Cheers,
Kent"
alt.atheism,"

	I disagree: every proposition needs a certain amount of evidence 
and support, before one can believe it. There are a miriad of factors for 
each individual. As we are all different, we quite obviously require 
different levels of evidence.

	As one pointed out, one's history is important. While in FUSSR, one 
may not believe a comrade who states that he owns five pairs of blue jeans. 
One would need more evidence, than if one lived in the United States. The 
only time such a statement here would raise an eyebrow in the US, is if the 
individual always wear business suits, etc.

	The degree of the effect upon the world, and the strength of the 
claim also determine the amount of evidence necessary. When determining the 
level of evidence one needs, it is most certainly relevent what the 
consequences of the proposition are.



	If the consequences of a proposition is irrelvent, please explain 
why one would not accept: The electro-magnetic force of attraction between 
two charged particles is inversely proportional to the cube of their 
distance apart. 

	Remember, if the consequences of the law are not relevent, then
we can not use experimental evidence as a disproof. If one of the 
consequences of the law is an incongruency between the law and the state of 
affairs, or an incongruency between this law and any other natural law, 
they are irrelevent when theorizing about the ""Truth"" of the law.

	Given that any consequences of a proposition is irrelvent, including 
the consequence of self-contradiction or contradiction with the state of 
affiars, how are we ever able to  judge what is true or not; let alone find
""The Truth""?



	By the way, what is ""Truth""? Please define before inserting it in 
the conversation. Please explain what ""Truth"" or ""TRUTH"" is. I do think that 
anything is ever known for certain. Even if there IS a ""Truth"", we could 
never possibly know if it were. I find the concept to be meaningless.

--


       ""Satan and the Angels do not have freewill.  
        They do what god tells them to do. """
alt.atheism,"
Ultimately it rests with personal opinion...in my opinion. :-) 


The question doesn't make sense to me. Maybe it would be better to ask,
""What makes a democracy better than [for example] a totalitarian
regim?"""
alt.atheism,"
Gregg, so would you consider that Rushdie would now be left alone,
and he could have a normal life? In other words, does Islam support
the notion of forgiving?

Cheers,
Kent"
alt.atheism,"I apologize for the long delay in getting a response to this posted.
I've been working reduced hours the past couple of weeks because I had
a son born (the day after Umar's article was posted, btw).  I did
respond within a couple of days, but it turns out that a a
coincidental news software rearrangement caused postings from this
site to silently disappear rather than going out into the world.  This
is a revision of that original response.


[this was in response to the claim that ""Rushdie made false statements
about the life of Mohammed"", with the disclaimer ""(fiction, I know,
but where is the line between fact and fiction?) - I stand by this
distinction between fiction and ""false statements""]


I had not seen that claim, or I might have been less sweeping.  You
have made what I consider factual misstatements about events in the
book, which I have raised in the past, in the ""ISLAM: a clearer view""
thread as well as the root of the ""Yet more Rushdie [Re: ISLAMIC LAW]""
thread.  My statement was not that you had not read the book, but that
you had not convinced me that you [inter alia] had.  As I said before,
if you want to defend your position, then produce evidence, and
respond to the evidence I have posted; so far you have not.  Of
course, my statement was not directly aimed at you, but broadly at a
number of Muslim posters who have repeated propaganda about the book,
indicating that they haven't read it, and narrowly at Gregg Jaeger,
who subsequently admitted that he hadn't in fact read the book,
vindicating my skepticism in at least that one case.

So far, the only things I have to go on regarding your own case are a)
the statements you made concerning the book in the ""a clearer view""
posting, which I have challenged (not interpretation, but statements
of fact, for instance ""Rushdie depicts the women of the most
respected family in all of Islam as whores""), and b) your claim (which
I had not seen before this) that you have indeed read it cover to
cover.  I am willing to try to resolve this down to a disagreement on
critical interpretation, but you'll have to support your end, by
responding to my criticism.  I have no doubt as to the ability of a
particular Muslim to go through this book with a highlighter finding
passages to take personal offense at, but you have upheld the view
that ""TSV *is* intended as an attack on Islam and upon Muslims"".  This
view must be defended by more than mere assertion, if you want anyone
to take it seriously.


And I appreciate it, but welcome to the club.  I am defending my
honest opinion that this book should not be construed as a calculated
(or otherwise) insulting attack on Islam, and the parallel opinion
that most of the criticism of the book I have seen is baseless
propaganda.  I have supported my statements and critical
interpretationa with in-context quotes from the book and Rushdie's
essays, which is more than my correspondents have done.  Of course,
you are more than welcome to do so."
alt.atheism,"
So that still leaves the door totally open for Khomeini, Hussein
et rest. They could still be considered true Muslims, and you can't
judge them, because this is something between God and the person.

You have to apply your rule as well with atheists/agnostics, you
don't know their belief, this is something between them and God.

So why the hoopla about Khomeini not being a real Muslim, and the
hoopla about atheists being not real human beings?

Cheers,
Kent"
alt.atheism,"

That's right.  Humans have gone somewhat beyond this though.  Perhaps
our goal is one of self-actualization.


Now you are letting an omniscient being give information to me.  This
was not part of the original premise.


Which type of morality are you talking about?  In a natural sense, it
is not at all immoral to harm another species (as long as it doesn't
adversely affect your own, I guess)."
alt.atheism,"
""Isaac Asimov read creationist books.  He read the Bible.  He had ample
opportunity to kneel before his Creator and Savior.  He refused.  In
fact, he sent out a strong promotional letter urging support of the
American Humanist Association, shortly before he died.""

   --excerpt from Ken Ham, ""Asimov Meets His Creator,"" _Back to Genesis_
     No. 42, June 1992, p. c (included in _Acts & Facts_ vol. 21, no. 6,
     June 1992, from the Institute for Creation Research).  This is one
     of the most offensive articles they've ever published--but at least
     it argues *against* a deathbed conversion.  There's a part of the
     article even worse than what I've just quoted, in which an excerpt
     from a reader's letter says that if Asimov is burning in hell now,
     ""then he certainly has had a 180-degree change in his former beliefs
     about creation and the Creator.""  (A post-deathbed conversion.)"
alt.atheism,"
I would be happy to discuss the  issue of the 12 Imams with you, although
my preference would be to move the discussion to another
newsgroup.  I feel a philosophy
or religion group would be more appropriate. The topic is deeply
embedded in the world view of Islam and the
esoteric teachings of the Prophet (S.A.). Heresy does not enter
into it at all except for those who see Islam only as an exoteric
religion that is only nominally (if at all) concerned with the metaphysical
substance of man's being and nature.

A good introductory book (in fact one of the best introductory
books to Islam in general) is Murtaza Mutahhari's ""Fundamental's
of Islamic Thought - God, Man, and the Universe"" - Mizan Press,
translated by R. Campbell. Truly a beautiful book. A follow-up book
(if you can find a decent translation) is ""Wilaya - The Station
of the Master"" by the same author. I think it also goes under the
title of ""Master and Mastership"" - It's a very small book - really
just a transcription of a lecture by the author.
The introduction to the beautiful ""Psalms of Islam"" - translated
by William C. Chittick (available through Muhammadi Trust of
Great Britain) is also an excellent introduction to the subject. We
have these books in our University library - I imagine any well
stocked University library will have them.

From your posts, you seem fairly well versed in Sunni thought. You
should seek to know Shi'ite thought through knowledgeable 
Shi'ite authors as well - at least that much respect is due before the
charge of heresy is levelled."
alt.atheism,"I'm sold!  Where do I sign up?
"
alt.atheism,"

This thread seems to be arguing the validity of a religious viewpoint
according to some utilitarian principle, i.e. atheism/religion is
wrong because it causes death.  The underlying `moral' is that death
is `wrong'.  This is a rather arbitrary measure of validity.

Get some epistemology."
alt.atheism,"
  If the emphasis is on the ""in general"", then of course you're
  correct, since you haven't really said anything.  If we restrict
  our observations to practiced religions, there are lots of
  examples of god mandated genocide.  Just ask the Canaanites.  The
  point is that if you believe in a god, and if you believe he has
  ordered you to eliminate an entire race, you will likely make the
  attempt.  After all, if it was OK in the past, it could surely be
  OK in the present.


/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\ 

Bob Beauchaine bobbe@vice.ICO.TEK.COM 

They said that Queens could stay, they blew the Bronx away,
and sank Manhattan out at sea."
alt.atheism,"#|> #
#|> #False dichotomy.  You claimed the killing were *not* religiously
#|> #motivated, and I'm saying that's wrong.   I'm not saying that
#|> #each and every killing is religiously motivate, as I spelled out
#|> #in detail.
#|> 
#|> Which killings do you say are religously motivated?
#
#For example, I would claim that the recent assassination of four
#catholic construction workers who had no connection with the IRA
#was probably religously motivated.
#
#|> At the time
#|> of writing, I think that someone who claims the current violence is
#|> motivated by religion is reaching.
#
#What would you call is when someone writes ""The killings in N.I 
#are not religously motivated?""

I'd say it was motivated by a primitive notion of revenge, and by
misguided patriotism.  Otherwise, I'd have to wonder how come mainland
catholics are not killed by mainland protestants, and southern
catholics are not killed by southern protestants, and so on.  Take away
all plausible causes bar religion, and the violence diminishes markedly.
Gee, why _is_ that?

#|> Now, it's possible to argue that 
#|> religion *in the past* is a major contributing factor to the violence in
#|> the present, but I don't know of any evidence that this is so - and I'm
#|> not enough of a historian to debate it. 
#
#Given that the avowed aim of the IRA is to take Northern Ireland
#into a country that has a particular church written into its 
#constitution, and which has restriction on civil rights dictated
#by that Church, I fail to see why the word ""past"" is appropriate.

The country also has a different official language written in its
constitution (and vice versa :-) - maybe they're motivated by a love of 
Irish poetry.  Your argument is fallacious, jon.

For what it's worth, I agree with all that you say about Ireland above, 
and more.
"
alt.atheism,"

What is your reaction to people who claim they were abducted by space aliens?

Some of these people say, ""I was abducted, experimented on, etc.""
If we insist that these aliens don't exist is the burden of proof placed on
us. These people can give no hard facts but can give a lot of testimony to
back up their beliefs.

Replace <space aliens> with <elvis>, <big foot>, <blue unicorns>, 
and we have a larger percentage of the population than I like to think
about."
alt.atheism, 
alt.atheism,"

Find an encyclopedia. Volume H. Now look up Hitler, Adolf. He had
many more people than just Germans enamoured with him.

P."
alt.atheism,"Darwin fish can be bought from:
--
""JOIN THE DARWINNERS (TM) Send $6 to receive your official Evolving
Fish..  wherever you want to spread the good news!  Darwinners, 6671
Sunset Blvd., Ste. 1525, L.A.,CA 90028 THE GREATEST THEORY EVER TOLD!""

Jenny"
