Marketplace,"it must have 1 meg memory and support res. 1024x768 (even higher will be better)if it has 9 & 15 pin ports and also supports ega/cga , that's better.
I will pay $30 + $1 (shipping) for it.

let me knoe if u have one like this."
Marketplace,"I'm looking to buy a 100% working keyboard for a 286 system (preferably 
a 101 layout.)  I'm looking to spend about $20.


-- "
Marketplace,"Reduced Prices! 
I have a list of things forsale on behalf of my brother, who's moving (moved
already)

								Offer:
1) Black and Decker Duster Plus (Portable Hand Vaccum)	
 	purchased for $32, 					  $12

2) SR-1000 Dual Cassette Portable Player, AM/FM
5-Band graphics Equalizer, high speed dubing, Duo 
Tape.Tape deck A, seems to have lost treble sound. 
But, I bet  it's fixable.
	purchased for $80					  $25

3)Monolux Zoom MicroScope, up to 1200X magnification
Made in Japan, includes case and accessories
	purchased for $50					  $20

4)Sunbeam 1400 Hair Dryer, the dryer you put your 
head under/into. You know, the ones you see in the salons.
(Don't ask me why my bro had it)
	purchased for $60				          $24

5)Everylast Speed Bag, all leather. Brand new, never 
used								  $10

6)Osterizer Pusle Matic Blender, with 10 speeds 
and a cookbook, 5 years old					  $10
	purchased for $50

8)Binolux Binoculars . 7x35, extra wide angle
525ft. at 1000yds. with case. very new.		                  $20

9)Proctor and Silex Spray,Steam and Dry Iron.
very new.							  $10


Any questions, contact me thru e-mail and I will reply expeditously
And always, S+H are not included, so please consider this.

And lastly, I'm a very reasonable.Very Reasonable."
Marketplace,
Marketplace,"FOR SALE:

Kenwood Audio/Visual Surround sound Receiver.
* 1.5 yrs old, perfect condition, still under 5 year warranty.
* 75 watts x 2 front + 5x2 watts rear surround.  Dobly surround.
* 3 video, 2 tape, 1 CD, 1 Phono input.
* Full easy-touch button control for all functions
* Bass/treble/balance/rear level knobs
* Earphone input
* Digital synthesized tuner with 20FM/10AM presets. 
* Full logic-remote control:  with volume, mute, tuner and other controls.
* Has three outlets in the back, can connect all your equipment and turn them
  on at the same time  
* Includes manuals, cables, and original packaging.

A great addition for anyone starting out a home theater, or stereo system.

Originally purchased at $379, Asking $150.

email:  jburgin@ralph.cs.haverford.edu
phone:  215-645-5620"
Marketplace,"Finally a fax service to all Internet users in the continental U.S. without
prepayment of any kind. This service is provided by Information System
International based in Fishers, Indiana at isifisher@aol.com. As an Internet
user, your credit has been automatically approved. So you can start sending
faxes RIGHT NOW.

1. How to send a fax

To use this service, e-mail to: isifisher@aol.com in the following format:

-Your name
-Your phone number
-Your mailing address
- the number you send fax to
- the recipient's name and company 
- the address and phone number of the recipient (optional)
=====================================
- fax content

Your fax will be sent out within 24 hours. Every fax will include a standard
cover sheet free of charge which contains: (1) your name; (2) your phone
number; (3) your address; (4) the recipient's name and company.

Upon sending out your fax, a receipt will be sent for your record.

IMPORTANT: If this is your first time to use the fax service, you MUST
include the following paragraph at the beginning of your e-mail:

	I hereby authorize Information System International to open a fax account
for me. I agree to pay all charges incurred upon receiving my monthly bill..

2. What format is acceptable

	Only plain ASCII format and Rich Text Format (RTF) are acceptable. 
	(1) For plain ASCII format, Times New Roman fonts of 12-point size will be
used. 
	(2) For RTF format, your fax document will appear exactly the same as it
would appear on your local laser printer. In almost all word processing
software on PC, Mackintosh, Sun workstation, etc., you can save your document
in RTF format. 


3. How to pay

	The first time you use our fax service, we will open an account for you
under your name. You will be billed each month if you have a balance or when
your balance has been over $50.00 - whichever comes first. 

4. Cost

	The cost for continental U.S (excluding Hawaii & Alaska) is only $1.50 for
the first page, $0.75 for each additional page. Each fax will include a cover
sheet which is free."
Marketplace,"For Sale ---

        U.S.Robotics 16.8k HST external modem, including power adapter,
        Users Guide and Quick-Reference Card.

        $515.00.

        Call me voice at (513) 831-0162 -- let's talk about it.

        Herb..."
Marketplace,"**********

Hitachi CD player (needs cd spin motor) $30 shipped 

  JoYSTICKS..

	an IBM/apple joystick three fire buttons
	apple joy stick (//c //e)
	kraft track ball  make offers..

coleco vision items:

	two working Consoles w/ working controllers in great shape
	one roller ball controller
	two Super ACtion conrollers
	one 'standard' joystick

games:
	SA baseball
	SA rocky
	SA football

VIc 20 and C64 with powersupplies and RF modulators... make an offer

Vic20 Catridges:  Raid on Fort Knox - Omega Race

******

Early 80's Epiphone Acoustic guitar
spruce top.. mohogany back, sides and neck

adjustable bridge, plays very nice

small hole in side for jack (had a pickup at one time)

$175 + shipping

******

Yamaha CS-5 ANalog synthesizer

Three octave keyboard

VCO - single oscillator range from 64' to 2'

Tone sources - Saw tooth, square, noise and external sound 

VCA - can be modulated

VCF - Cut off, resonance, LFO MOD, envelope generator depth

pitch bend slider, CV in and out, trigger in and out, external
tone source in...  the keyboard is in perfect working order and
is colored black and white

$150 + shipping

**********
DRUM stuff..

North heavy Duty hi hat stand $45  
	older stand... but definately in working shape.. could
	use a little clean up.  comes with clutch and felts, etc..

Pearl bass drum pedal with felt beater $20 

honer cymbal stand $15 (needs some work on cymbal stem)

Zildjian 20"" Ride cymbal  $55 
	main line zildjian... older ride cymbal

Ludwig snare stand $10
	okay snare stand.. NOT like a remo though ;) 


shipping extra.. please email

if you have questions about anything, please email me
"
Marketplace,"Available for Weekly/bi-weekly/weekend Rental :

A brand new chalet in a private resort community located in the heart
of the Pocono Mountains. The chalet has 3 bedrooms and 2 bathrooms and
features full carpeting, cathedral ceiling in living/dining room, an
overlooking loft, stone fireplace, wraparound deck, country kitchen
with all appliances and many other features too numerous to list them
all. Its custom designed and built and tastefully furnished for the
comfort of 8 adults.

The community has 24 hour security and offers 2 large lakes, 4 sandy
beaches, 2 swimming pools, 9 tennis courts, many picnic areas,
4 playgrounds, miniature golf, trout stream/lake fishing, team softball,
shuffleboard, ice skating/tobagun run, teen dances, club house etc. etc.

There are many recreational facilities within easy reach of the
vacation home. Ski resorts, luxury hotels with nitely entertaiment,
Pocono international raceway, golf courses, parks, gamelands,
whitewater rafting, horseback riding, scenic trails, waterfalls,
train rides, historical places, all kinds of restaurants,
factory outlet malls, tourist attractions, just to name a few.

This is an ideal place for a family/group vacation or a weekend
getaway. There is no traffic congestion and air or water pollution
and its only 2 hours from New York, Northern New Jersey and
Philadelphia.

For further information call :"
Marketplace,"I have a basic Apple IIgs system that I need to sell.  Everything comes with
original boxes and documentation, and is in excellent condition.  Make an
offer; I'll consider anything:

Apple IIgs 1 meg
3.5"" drive
13"" AppleColor RGB monitor
keyboard/mouse/mousepad/dustcovers/1200 baud Applemodem/random other worthless
    stuff.

Here's a list of the games/apps:

   Games:				   Applications:

BattleChess				System Disk
Defender of the Crown			System Tools IIGS
Arkanoid II				WordPerfect
Bubble Ghost				Appleworks
Shadowgate				Writer's Choice elite
Balance of Power			Draw Plus
Marble Madness				Copy II Plus
Zany Golf				ProTERM communications software
Chessmaster 2100

If interested, contact:

sunshine@cco.caltech.edu"
